SMILES,measured log(solubility:mol/L)
OC(=O)CC(O)(CC(O)=O)C(=O)NC1=CC=CC=C1,-0.48
CC1OC(NC2=CC=C(C=C2)S(N)(=O)=O)C(O)C(O)C1O,-0.5
CCC(O)CN(CC(O)CC)CC(O)CC,-0.52
[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(O[C@@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])O[C@]2([H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@@]1([H])O[H],-0.53
CCCCP(=O)(CCCC)CCCC,-0.59
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,-0.6
CCOCCOCCOCCOC(=O)C(C)=C,-0.6
O=C(NCCC1=CN=CN1)C1=CC=CC=C1,-0.63
O=C(NCCC1=CNC=N1)C1=CC=CC=C1,-0.63
CCCCCCOC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,-0.66
OC(=O)CC1(O)CC(=O)N(C1=O)C1=CC=CC=C1,-0.68
CC(C)CC(N)C(=O)NC(CC(C)C)C(O)=O,-0.69
CC(O)C(=O)NCCCCCCNC(=O)C(C)O,-0.7
CC(=O)NC1=NC2=C(C=N1)N=CN2COCCOC(C)=O,-0.73
OC[C@H]1O[C@H](O[C@@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,-0.82
CN(CCOC(=O)C1=CC=CC=C1)C(C)=O,-0.85
COC(=O)CC(SC1=CC=CC=C1)C(=O)OC,-0.85
COC1=CC=C(CC2NC(=O)N(C)C2=O)C=C1,-0.89
OCCOC(=O)NCCCCCCNC(=O)OCCO,-0.92
CN(CC(N)=O)C(=O)COC(=O)C1=CC=CC=C1,-0.92
CC1=CC=C(C=C1)S(=O)(=O)NC(CCC(O)=O)C(O)=O,-0.93
CCN(CC)C(C#N)C1=CC=CC=C1,-0.97
CCC(CO)(CO)COCC(CC)(CO)CO,-0.98
N[S](=O)(=O)c1ccc(NC2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1,-0.98
NS(=O)(=O)C1=CC=C(NC2C(O)OC(CO)C(O)C2O)C=C1,-0.98
O=C1CCN(CC1)Cc2ccccc2,-1.02
NC(=N)C1=CC=C(CCC2=CC=C(O2)C(N)=N)O1,-1.02
OC1=CC2=C(C=C1)N=C1C=CC(=O)C=C1O2,-1.03
NS(=O)(=O)C1=CC=C(NC2OC(CO)C(O)C(O)C2O)C=C1,-1.05
CN(CCO)C(=O)COC(=O)C1=CC=CC=C1,-1.09
CN(C)C(=O)CCOC(=O)C1=CC=CC=C1,-1.1
CCCN(CCC)C(=O)CCC(=O)OCC,-1.1
CC1CCCC(OC2CCCC(C)O2)O1,-1.11
CC(C)CC(N(CCC#N)CCC#N)C(O)=O,-1.14
CCOCCOC(=O)CSC1=CC=CC=C1,-1.22
CCCCCC(=O)NNC(=O)C1=CC=NC=C1,-1.24
CCCCCCN1C[C@H](CC1=O)C(=O)OC,-1.25
CCCCCCN1CC(CC1=O)C(=O)OC,-1.25
OCC1CCC2C3CC(CC3CO)C12,-1.25
OCC1OC(OC2=CC(=CC=C2)[N+]([O-])=O)C(O)C(O)C1O,-1.27
C1CNC2C(C1)CCC1CCCNC21,-1.27
COCCOC(=O)CCCCC(=O)OCCOC,-1.27
NCC(=O)NCC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NN=C(S1)S(N)(=O)=O,-1.29
O=C(OC1CCNCC1)C1=CC=CC=C1,-1.31
COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(Cl)C=CC=C2)=N1,-1.385
CC(C)CC(Br)C(=O)NC(C)C(=O)NC(C)C(O)=O,-1.43
CC(=O)CC(CC(O)=O)C1=CC=CC=C1,-1.44
OCC1OC(OC2=CC=CC=C2)C(O)C(O)C1O,-1.46
CC(C)(O)C(=O)c1ccc(OCCO)cc1,-1.47
[O-]C(=O)[C@H](Cc1ccccc1)[NH2+]CCC#N,-1.49
OC(=O)C(CC1=CC=CC=C1)NCCC#N,-1.49
O=C1N(CC2CO2)C(=O)N(CC3CO3)C(=O)N1CC4CO4,-1.5
CCCC(CCC)C(=O)NCCCC(O)=O,-1.5
OC(=O)CSC(CCNC(=O)N(CCCl)N=O)N1C=C(F)C(=O)NC1=O,-1.52
CN1N(C(=O)C(NC(N)=O)=C1C)C1=CC=CC=C1,-1.52
CN(CCCCC(O)=O)S(=O)(=O)C1=CC=CC=C1,-1.56
COC1=CC(\C=C\C)=CC=C1OCC(O)=O,-1.58
CCC(C)C(=O)N(C)c1ccccc1,-1.58
CN(CCO)C(=O)COC(=O)C1=CC=CC=C1O,-1.6
Nc1ccc(Nc2ccc(cc2[S](O)(=O)=O)[N+]([O-])=O)cc1,-1.6
CCOC(CN(CC(OCC)OCC)N=O)OCC,-1.61
O=C(COC(=O)C1=CC=CC=C1)N1CCC1,-1.61
CC(=O)C(\CC(O)=O)=C\C1=CC=CC=C1,-1.61
CC(=O)C(CC(O)=O)=Cc1ccccc1,-1.61
CC(C)(O)C(=O)OCCC1=CC=CC=C1,-1.62
CCCOC(=O)C(/O)=C/Oc1ccccc1,-1.62
[O-][N+](=O)C1C(=O)CC(CC1=O)C1=CC=CC=C1,-1.67
[H]C([H])([H])C(=O)OC1([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C1([H])C([H])(C([H])([H])[H])C([H])([H])[H],-1.67
CC(COCC(C)OC(=O)C=C)OC(=O)C=C,-1.67
COCCOC(=O)OC1=CC=C(NC(C)=O)C=C1,-1.69
CC(CCC(O)=O)NC(=O)C1=CC=CC=C1,-1.69
CCCCOP(=O)(CCCC)CCCC,-1.72
CCC(CO)(COCC=C)COCC=C,-1.72
CNCc1cccc2ccccc12,-1.72
O=C1C=CC(c2cc(ccc2O)O)(C=C1)O,-1.73
CC1=NC(C)=C(S1)C(=O)NC1=CC=CC=C1,-1.73
COC(C)C(NC(=O)C1=CC=CC=C1)C(O)=O,-1.74
N=C1C=CC(C=C1)=NC1=CC=CC=C1,-1.74
CCCCOC(=O)C(O)C1=CC=CC=C1,-1.75
OC(=O)CN1C(CC2=CC=CC=C2)C(=O)NC1=O,-1.79
CCN(CC)CC(=O)OCN1N=CC2=C1N=CNC2=O,-1.79
CC1(C)NC(=O)N(CC2=CC=CC=C2)C1=O,-1.8
OCCNc1ccc(cc1[N+]([O-])=O)N(CCO)CCO,-1.8
CCCCC(=O)NCCNC(=O)CCCC,-1.81
CCCCN(C)N=NC1=CC=C(C=C1)C(O)=O,-1.81
CC(=O)N1CCN(CC1)c2ccc(O)cc2,-1.82
O=C(NCC)C(OC(Nc1ccccc1)=O)C,-1.83
CCNC(=O)[C@H](C)OC(=O)NC1=CC=CC=C1,-1.83
C=CCN1C(=O)N(CC=C)C(=O)N(CC=C)C1=O,-1.85
CCCCOCCOCCOCCCC,-1.86
CCCC(=O)OCN1C=NC2=C1C(=O)N(C)C(=O)N2C,-1.86
CC(C)(O)c1cccc(c1)C(C)(C)O,-1.86
COC(CN(C)C(=O)NC1=NN=C(S1)C(C)(C)C)OC,-1.87
[#6]OC(CN([#6])C(=O)NC1=[NH0][NH0]=C([SH0]1)C([#6])([#6])[#6])O[#6],-1.87
CC=C(Cl)Cl.C\C(Cl)=C\Cl.ClCC(Cl)=C.ClC(Cl)C=C,-1.915
CCc1cccc2c(CCO)c[nH]c12,-1.92
CCCCOC(=O)N1C=NC2=C1C(=O)N(C)C(=O)N2C,-1.93
CCC(=O)OCC(COC(=O)CC)OC(=O)CC,-1.93
CCOC1=CC=C(C=C1)N(C(C)=O)C(C)=O,-1.95
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=C(Cl)C=N1,-1.96
NCCNc1cccc2ccccc21,-1.97
CCCC(=O)OCOC1=CC=CC=C1C(N)=O,-1.98
CC(C)CC(=O)C1=CC(C)=C(O)C=C1,-1.98
CC(=O)CC(=O)Nc1ccc(C)cc1C,-1.99
CCO[P](=O)(OCC)SCN1N=Nc2ccccc2C1=O,-1.99
S=P(N1CCOCC1)(N1CCOCC1)N1CCOCC1,-2
CC(CCC(O)=O)(\N=N\C(C)(CCC(O)=O)C#N)C#N,-2.01
C[C@@](CCC(O)=O)(\N=N\[C@](C)(CCC(O)=O)C#N)C#N,-2.01
O=C(C1=CC=CC=C1)C1=NC=CC=C1,-2.02
CCCCOCCOCCOC(=O)C(C)=C,-2.02
CC(=O)OCOC(=O)C1=CC=CC=C1OC(C)=O,-2.02
CC1=C(O)C(=O)C=CN1C1=CC=CC=C1,-2.03
C\C(=C(\CC(O)=O)C(O)=O)C1=CC=CC=C1,-2.03
O=S(=O)(C1CCCCC1)C1CCCCC1,-2.06
CC(CN(C(C)=O)C1=C(I)C(N)=C(I)C=C1I)C(O)=O,-2.06
OC1=C(O)C=C(C=C1)C1=CC=CC=C1,-2.07
C=CCOC(=O)OCCOCCOC(=O)OCC=C,-2.07
c1cc2ccc[n]c2c2[n]cccc21,-2.07
CCCCOCc1ccc(O)c(OC)c1,-2.09
O=C(N1)NC(C(C2=CCCCC2)(CC)C1=O)=O,-2.095
CC[C@H](C)C1=CC(=CC(=C1OC(C)=O)[N+]([O-])=O)[N+]([O-])=O,-2.11
CC(C)(C)CCCCCCCC(O)=O,-2.11
CCCCC(=O)N1C=NC2=C1C(=O)N(C)C(=O)N2C,-2.12
CC(=O)NC1=NC2=C(N=CN2COCCOC(C)=O)C(=O)N1,-2.14
CS(=O)(=O)C1=CC=C(C=C1)[C@H](O)[C@H](CO)NC(=O)C(Cl)Cl,-2.15
CS(=O)(=O)C1=CC=C(C=C1)C(O)C(CO)NC(=O)C(Cl)Cl,-2.15
CS(=O)(=O)C1=CC=C(C=C1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,-2.15
CC(O)CC(C)(C)c1ccccc1,-2.15
OC1=CC(O)=C(C=C1)\N=N\C1=CC=C(C=C1)S(O)(=O)=O,-2.17
CCC(C)C1=C(OC(C)=O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,-2.18
CC1(C)Cc2cccc(OC(=O)NC)c2O1,-2.183333333
CCCCCCS(=O)(=O)NS(=O)(=O)CCCCCC,-2.19
CCCCCCCCN(CCO)CCO,-2.19
C\C=C\CC1(C\C=C\C)C(=O)NC(=O)NC1=O,-2.2
C\C=C/CC1(C\C=C/C)C(=O)NC(=O)NC1=O,-2.2
CC=CCC1(CC=CC)C(=O)NC(=O)NC1=O,-2.2
OC(=O)C(CCC(SCC=C)C(O)=O)SCC=C,-2.2
CCN1C=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NC1=O,-2.23
NNP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1,-2.24
Cc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(C)n1,-2.24
COC(=O)C1=C(C=CS1)S(=O)(=O)NC(=O)NC1=NC(OC)=NC(C)=N1,-2.24
[#6]OC(=O)C1=C(C=C[SH0]1)S(=O)(=O)NC(=O)NC1=[NH0]C(O[#6])=[NH0]C([#6])=[NH0]1,-2.24
[#6]C1=CC(NS(=O)(=O)C2=CC=C([#7])C=C2)=[NH0]C([#6])=[NH0]1,-2.24
C=CCOC1=NC(OCC=C)=NC(OCC=C)=N1,-2.245
CN(CC(O)=O)C(=O)COC(=O)C1=CC=CC=C1,-2.25
CCOC(=O)C1=C(OC)C(OC)=CC=C1C(O)=O,-2.25
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CN=N1,-2.25
CCOC(=O)C1CCC(CC1)C(=O)OCC,-2.25
CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.25
CC1=CN(CC2=CC=CC=C2)C(=O)NC1=O,-2.26
CCCCCCCCN1CCCC1=O,-2.26
[#6]C1=CC([#6])=[NH0]C(NS(=O)(=O)C2=CC=C([#7])C=C2)=[NH0]1,-2.27
COC1=C(OCC(O)=O)C=CC(CC=C)=C1,-2.28
OC1=CC=CC(=C1)S(=O)(=O)C1=C(O)C=CC=C1,-2.28
CCC[C@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.28
CC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)C=C1,-2.29
CCC1(C(=O)NC(=O)NC1=O)C1=CC=C(O)C=C1,-2.3
CCOC(=O)C1OC1(C)c2ccccc2,-2.31
CCC1(CC)NC(=O)C(CC)(CC)NC1=O,-2.31
NC(=N)NC(=N)NC1=CC=CC2=C1C=CC=C2,-2.32
O=C(NC1CCCCC1)C1=CN=CC=C1,-2.32
NC(N)=N\C(N)=N/C1=C2C=CC=CC2=CC=C1,-2.32
O=C(OCC1CCCO1)C1=CC=CC=C1,-2.32
O=C(OC[C@@H]1CCCO1)C1=CC=CC=C1,-2.32
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(O)=O)c1I,-2.32
CCC(C(C(O)=O)C1=CC=CC=C1)C(O)=O,-2.33
OC1=CC=CC(=C1)S(=O)(=O)C1=CC(O)=CC=C1,-2.33
O=C(C(CC)(C2=O)c1ccccc1)NC(N2)=O,-2.34
CC1(C)CON(CC2=CC=CC=C2Cl)C1=O,-2.34
O=C(OCC)c1ccccc1C(OCC)=O,-2.35
NC(=O)CNC(=O)CNC(=O)OCC1=CC=CC=C1,-2.35
CC1=NC(=O)C(C#N)=C(NCC2=CN=CC=C2)N1,-2.35
CC(CO)CC(C)c1ccccc1,-2.35
O=C(C(S(=O)(CCO2)=O)=C2C)Nc1ccccc1,-2.355
COCC(C)N(C(=O)CCl)C1=C(C)SC=C1C,-2.36
[#6]OCC([#6])N(C(=O)CCl)C1=C([#6])[SH0]C=C1[#6],-2.36
Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2,-2.36
CCC[C@@H](C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.36
OC1CC2N(C1)C(=O)C1=C(NC2=O)C=CC=C1,-2.37
CCN(CC)CCSCCN(CC)CC,-2.37
CN1C=CC=C\C1=N/S(=O)(=O)C1=CC=C(N)C=C1,-2.37
CC(=O)OC(C)(C)Cc1ccccc1,-2.39
CCCCC/C=C/CC(CC(O)=O)C(O)=O,-2.4
CCOc1ccc(NS(=O)(=O)c2ccc(N)cc2)[n][n]1,-2.43
CC1=C(C(O)=NC2=CC=CC=C2)S(=O)(=O)CCO1,-2.43
CCOC(=O)OCOC1=CC=C(NC(C)=O)C=C1,-2.43
CC1CC(C)(CO1)c2ccccc2,-2.43
FC1=CNC(=O)N(COC(=O)OC2=CC=CC=C2)C1=O,-2.45
Oc(cccc2)c2c1ccccc1,-2.45
CCOC(=O)C(\NC=O)=C\C1=CC=C(C=C1)N(=O)=O,-2.46
CCC(=O)OCC1OC(CC1O)N1C=C(I)C(=O)NC1=O,-2.46
CC1=CC(=NO1)C(=O)NNCC1=CC=CC=C1,-2.46
NC(=N)N\N=C\C1=C2C=CC=CC2=CC=C1O,-2.46
N=C(N)NN=CC1=C2C=CC=CC2=CC=C1O,-2.46
CCOC(=O)C(\NC=O)=C\C1=CC=CC(=C1)N(=O)=O,-2.47
O=C1N(C[C@@H]2CO2)C(=O)N(C[C@@H]3CO3)C(=O)N1C[C@@H]4CO4,-2.47
CCN(CC)c1cccc(NC(C)=O)c1,-2.47
ClC1=CC=C(C=C1)S(=O)(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,-2.48
CCC(=O)N(C)C1=CC=C(C=C1)S(=O)(=O)N(C)C,-2.48
CCCCCCOC(=O)C(C)OC(=O)C(C)O,-2.49
CCCCCCOC(=O)[C@H](C)OC(=O)[C@H](C)O,-2.49
Cc1cc(C)nc(NS(=O)(c2ccc(N)cc2)=O)n1,-2.5
CCCC1=NC(CCC)=C(CC)C(N)=N1,-2.51
[#6]CCC1=[NH0]C([#7])=C(C[#6])C(CC[#6])=[NH0]1,-2.51
O=C1CC(CC(=O)C1)C1=CC=CC=C1,-2.51
OC1=CC(=O)C[C@@H](C1)c2ccccc2,-2.51
CCCCCCNC(=O)C1=CN=CC=C1,-2.52
CCCCOC(=O)CC(O)C(=O)OCCCC,-2.52
[#6]CCCCCNC(=O)C1=CC=C[NH0]=C1,-2.52
CCOC(=O)CCCCCCC(=O)OCC,-2.53
CCCNC(=O)COC(=O)c1ccccc1,-2.54
COc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(C)n1,-2.54
[#6]OC1=CC(NS(=O)(=O)C2=CC=C([#7])C=C2)=[NH0]C([#6])=[NH0]1,-2.54
NC(=N)NC(=N)NC1=CC=C2C=CC=CC2=C1,-2.55
NC(N)=N\C(N)=N/C1=CC=C2C=CC=CC2=C1,-2.55
NC(N)=NC(N)=Nc1ccc2ccccc2c1,-2.55
CCOC(=O)C1=CC(=O)OC2=C1C=CC=C2,-2.56
Nc1ccc(Nc2ccccc2)cc1,-2.56
CC(C)COC(=O)CSC1=CC=CC=C1,-2.56
OC1=CC=C2NC3=CC=CC=C3SC2=C1,-2.57
CCCOC(=O)OC1=CC=C(NC(C)=O)C=C1,-2.57
CC[C@H](N)CC1=CNC2=C1C=CC=C2,-2.57
NC(CC)Cc2c[nH]c1ccccc12,-2.57
OC1=CC(O)=C(C=C1)C1CCCCC1,-2.58
CC(C)OC(=O)COC1=CC=C(C=O)C=C1,-2.58
CC(C)C1=CC(C(=O)CCl)=C(C)C=C1O,-2.58
Oc1c(ccc(O)c1)CCCCCC,-2.59
COc1cc(C=O)ccc1OC(=O)C(C)C,-2.59
CC(C)C1(CC=C(C)C)C(=O)NC(=O)NC1=O,-2.59
OCC1=C(CO)C(CO)=C(CO)C(CO)=C1CO,-2.6
OC(=O)CCCCCC1=CC=CC=C1,-2.6
N(\N=N/C1=CC=CC=C1)C1=CC=CC=C1,-2.6
N(N=Nc1ccccc1)c2ccccc2,-2.6
N(\N=N\C1=CC=CC=C1)C1=CC=CC=C1,-2.6
CCC(C)c1ccccc1OC(=O)NC,-2.61
NC1=CC(=C(C=C1)C1=C(C=C(N)C=C1)S(O)(=O)=O)S(O)(=O)=O,-2.62
CC(CCOC(=O)C=C)CCOC(=O)C=C,-2.62
O=C(NCN1)C(c2ccccc2)(CC)C1=O,-2.64
O=C1N(C2CCCNC2=O)S(=O)(=O)C2=C1C=CC=C2,-2.64
CCCCCCCCCNCC(O)CO,-2.64
NC1=CC=C(SC2=CC=C(N)C=C2)C=C1,-2.64
CCCCCCOC(=O)C1=CC=CN=C1,-2.65
OC(Cc2cccc1ccccc12)=O,-2.65
CC(C#C)N(C(=O)CCl)C1=CC=CC=C1,-2.65
C[C@H](C#C)N(C(=O)CCl)C1=CC=CC=C1,-2.65
[#6]CCCCCOC(=O)C1=CC=C[NH0]=C1,-2.65
CC1=Nc2ccc(cc2C1(C)C)C(O)=O,-2.66
CC(CCO)CCc1ccccc1,-2.66
C1=CC2=C(C=C1)C1=C(C=C2)N=CC=N1,-2.68
c12c(cccn3)c3ccc1cccn2,-2.68
CC[C@H](C)C1=CC=CC=C1OC(=O)NC,-2.69
CCCCOP(=O)(CCCC)OCCCC,-2.7
COc1cc(CC=C)ccc1OC(C)=O,-2.7
Nc(cc2)ccc2c1ccc(N)cc1,-2.7
O=C1CC2=C(O1)C=CC1=CC=CC=C21,-2.71
OCCOc1ccc2ccccc2c1,-2.71
CCCCOC(=O)C1=C(C=CC=C1C(O)=O)N(=O)=O,-2.72
CC(NC(=O)COC(=O)C1=CC=CC=C1)C(N)=O,-2.72
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,-2.72
CN1C(O)=NC(=O)C(C)(C2CCCCC=2)C1=O,-2.73
CC(C)NC(=O)COC(=O)C1=CC=CC=C1,-2.73
CN1C(=O)NC(=O)[C@@](C)(C1=O)C1=CCCCC1,-2.74
COC1=CC=C(CN2C=C(F)C(=O)NC2=O)C=C1,-2.75
CCCCOC(=O)CSC1=CC=CC=C1,-2.75
NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=C(C=C1)S(N)(=O)=O,-2.76
O=C1CCCCC1C1=CCCCC1,-2.77
NC(CSCCCCCCSCC(N)C(O)=O)C(O)=O,-2.77
CCCCCCCCCC(=O)N(C)C,-2.77
N[C@@H](CSCCCCCCSC[C@H](N)C(O)=O)C(O)=O,-2.77
OC1=CC=C(SC2=CC=CC=C2)C=C1,-2.77
O=C1CCCC[C@@H]1C1=CCCCC1,-2.77
CC(=O)C1=CC2=CC=CC=C2C=C1,-2.8
O=C(NCc2ccccc2)Cn1c(N(=O)=O)ncc1,-2.81
FC1=CN(C(=O)OCC2=CC=CC=C2)C(=O)NC1=O,-2.82
CC(=O)CC(C)=NCCN=C(C)CC(C)=O,-2.82
C=CC(=O)OCCCCCCOC(=O)C=C,-2.82
O=C(N1C)NC(C(C2=CCCCC2)(C)C1=O)=O,-2.825
COc1cc(\C=C\C(O)=O)cc(OC)c1OC,-2.83
CCCC(=O)OC1=CC=C(NC(C)=O)C=C1,-2.83
O=C1CCCCCCCCCCCN1,-2.83
Cc1cccc(CC(C)(C)CO)c1,-2.83
OC(=O)CNS(=O)(=O)C1=CC=C2C=CC=CC2=C1,-2.85
CCC1(CC)OC(=O)C2=CC=CC=C12,-2.86
Nc1ccccc1c2ccccc2,-2.86
NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(O)=O,-2.86
COC(=O)C1(CC1)S(=O)(=O)C1=CC=C(C)C=C1,-2.88
CCCCC1(CCCC)C(=O)NC(=O)NC1=O,-2.88
CC(=O)c1cccc2ccccc12,-2.88
CCOC(=O)C(\NC=O)=C\C1=CC=CC=C1,-2.89
CCCCOC(=O)\C=C/C(=O)OCCCC,-2.895
C=CCOP(=O)(OCC=C)C1=CC=CC=C1,-2.9
OC(=O)CCCC1=CNC2=C1C=CC=C2,-2.91
CCC(C)N1C(=O)C2=CC=CC=C2C1=O,-2.91
CC[C@H](C)N1C(=O)C2=CC=CC=C2C1=O,-2.91
CCCCOP(=O)(OCCCC)OCCCC,-2.915
c1(NNc2ccccc2)ccccc1,-2.92
CC1=CC=C(CN2C=C(F)C(=O)NC2=O)C=C1,-2.92
CC(=C)C(=O)OCCOc1ccccc1,-2.95
O=C(NC1CCCC1)NC1=CC=CC=C1,-2.95
CCN[C@H]1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,-2.95
CCNC1CN(CCCOC)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O,-2.95
CCC(CC)(C(O)=O)C(CC)(CC)C(O)=O,-2.96
COc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(OC)n1,-2.96
[#6]OC1=CC(NS(=O)(=O)C2=CC=C([#7])C=C2)=[NH0]C(O[#6])=[NH0]1,-2.96
CC(=C)C(=O)OCCCCOC(=O)C(C)=C,-2.97
COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl,-2.98
CCS(=O)(=O)OC1=CC2=C(OCC2(C)C)C=C1,-2.99
CCOS(=O)(=O)C1=C2C(OCC2(C)C)=CC=C1,-2.99
COC(=O)C1(CCC1)[S](=O)(=O)c2ccccc2,-3
COC(=O)C1(CCC1)S(=O)(=O)C1=CC=C(Cl)C=C1,-3
CCOC(=O)C(\NC=O)=C\C1=CC=CC=C1Cl,-3
ClC1=CC(Cl)=C(C=C1)C1(CN2C=NC=N2)OCCO1,-3
CCCCOC(=O)CCC(=O)OCCCC,-3
CCCCCC1COCCC1OC(C)=O,-3
CC(C)CO[P](=O)(OCC(C)C)OCC(C)C,-3
Nc1ccc(N=Nc2ccccc2)c(N)c1,-3
CC(Cc1ccccc1)(C=C)C#N,-3
CN1N=C(SC1=NS(=O)(=O)C1=C(C)C=C(C)C=C1C)S(N)(=O)=O,-3
CCOC(=O)C(\NC=O)=C\C1=CC=C(Cl)C=C1,-3.01
CC(C)(C)C(=O)OC1=C(C=CC=C1)C(O)=O,-3.01
[H]N(C(=O)OC([H])([H])[H])C1=NC2=C(N1[H])C([H])=C(SC([H])([H])C([H])([H])C([H])([H])[H])C([H])=C2[H],-3.01
CC(=O)OC1=CCC2C3CCC(C3)C12,-3.01
C\C(=C(/CC(O)=O)C(O)=O)C1=CC=CC=C1,-3.02
OC/1=CC(=O)C=CC1=N/Nc2ccccc2,-3.03
OC1=CC(=O)C=C\C1=N\NC1=CC=CC=C1,-3.03
OC1=CC=C(\N=N\C2=CC=CC=C2)C(O)=C1,-3.03
CC(C)C(=O)OCCOc1ccccc1,-3.03
CC(C)COC(=O)C1=C(C=CC=C1C(O)=O)N(=O)=O,-3.05
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,-3.05
